beat,year,stops
1812,2017,319
1812,2018,538
1812,2019,750
1812,2020,315
1812,2021,425
1813,2015,343
1813,2016,296
1813,2017,427
1813,2018,659
1813,2019,807
1813,2020,372
1813,2021,667
1814,2015,547
1814,2016,726
1814,2017,747
1814,2018,973
1814,2019,1280
1814,2020,471
1814,2021,791
1821,2015,448
1821,2016,689
1821,2017,1841
1821,2018,2767
1821,2019,4313
1821,2020,1064
1821,2021,1458
1822,2015,656
1822,2016,541
1822,2017,942
1822,2018,1065
1822,2019,1339
1822,2020,424
1822,2021,730
1823,2015,728
1823,2016,356
1823,2017,379
1823,2018,748
1823,2019,1482
1823,2020,498
1823,2021,834
1824,2015,526
1824,2016,768
1824,2017,2079
1824,2018,1988
1824,2019,2283
1824,2020,739
1824,2021,1176
1831,2015,1273
1831,2016,1244
1831,2017,1504
1831,2018,2660
1831,2019,3207
1831,2020,1234
1831,2021,1639
1832,2015,683
1832,2016,704
1832,2017,942
1832,2018,2009
1832,2019,3352
1832,2020,1289
1832,2021,1675
1833,2015,1131
1833,2016,1251
1833,2017,1085
1833,2018,1474
1833,2019,2255
1833,2020,1393
1833,2021,1418
1834,2015,1565
1834,2016,1861
1834,2017,1972
1834,2018,2847
1834,2019,3548
1834,2020,1473
1834,2021,1987
1911,2015,265
1911,2016,400
1911,2017,596
1911,2018,870
1911,2019,845
1911,2020,496
1911,2021,520
1912,2015,139
1912,2016,331
1912,2017,505
1912,2018,836
1912,2019,891
1912,2020,439
1912,2021,849
1913,2015,168
1913,2016,485
1913,2017,632
1913,2018,1345
1913,2019,1377
1913,2020,772
1913,2021,1795
1914,2015,346
1914,2016,656
1914,2017,1087
1914,2018,1728
1914,2019,1970
1914,2020,1231
1914,2021,2082
1915,2015,260
1915,2016,308
1915,2017,456
1915,2018,740
1915,2019,747
1915,2020,381
1915,2021,715
1921,2015,139
1921,2016,293
1921,2017,385
1921,2018,629
1921,2019,740
1921,2020,405
1921,2021,297
1922,2015,324
1922,2016,477
1922,2017,589
1922,2018,967
1922,2019,1236
1922,2020,430
1922,2021,520
1923,2015,148
1923,2016,429
1923,2017,615
1923,2018,820
1923,2019,1072
1923,2020,438
1923,2021,664
1924,2015,258
1924,2016,831
1924,2017,886
1924,2018,989
1924,2019,1449
1924,2020,704
1924,2021,886
1925,2015,471
1925,2016,755
1925,2017,1170
1925,2018,892
1925,2019,835
1925,2020,366
1925,2021,515
1931,2015,265
1931,2016,318
1931,2017,246
1931,2018,384
1931,2019,578
1931,2020,293
1931,2021,295
1932,2015,177
1932,2016,211
1932,2017,264
1932,2018,303
1932,2019,490
1932,2020,275
1932,2021,400
1933,2015,98
1933,2016,271
1933,2017,299
1933,2018,442
1933,2019,663
1933,2020,289
1933,2021,562
1934,2015,194
1934,2016,237
1934,2017,269
1934,2018,443
1934,2019,609
1934,2020,304
1934,2021,480
1935,2015,360
1935,2016,402
1935,2017,407
1935,2018,527
1935,2019,744
1935,2020,309
1935,2021,612
2011,2015,694
2011,2016,976
2011,2017,2081
2011,2018,3381
2011,2019,3904
2011,2020,1900
2011,2021,2245
2012,2015,344
2012,2016,755
2012,2017,1428
2012,2018,1936
2012,2019,2007
2012,2020,1020
2012,2021,1277
2013,2015,401
2013,2016,512
2013,2017,1171
2013,2018,1659
2013,2019,1861
2013,2020,862
2013,2021,1732
2022,2015,106
2022,2016,196
2022,2017,682
2022,2018,665
2022,2019,886
2022,2020,384
